COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2009-06-29,Bascom Av,S of,Dry Creek Rd,Bascom Av - S of  Dry Creek Rd,25269,37.279604,-121.931714
2009-06-09,Bascom Av,S of,Curtner Av,Bascom Av - S of  Curtner Av,14929,37.272058,-121.936
2014-01-16,Camden Av,W of,Graystone Ln,Camden Av - W of  Graystone Ln,8908,37.221913,-121.852164
2014-01-16,Camden Av,E of,Graystone Ln,Camden Av - E of  Graystone Ln,6167,37.221811,-121.851764
2014-09-11,Camden Av,S of,Canna Ln,Camden Av - S of  Canna Ln,23700,37.231085,-121.903803
2014-03-05,Camden Av,N of,Orchard View Dr,Camden Av - N of  Orchard View Dr,23636,37.234752,-121.903468
2011-02-08,Bernal Rd,W of,Via Del Oro,Bernal Rd - W of  Via Del Oro,19398,37.229601,-121.774391
2009-10-08,Snell Av,S of,Blossom Hill Rd,Snell Av - S of  Blossom Hill Rd,23689,37.250673,-121.830826
2011-07-01,Montgomery St,N of,Park Av,Montgomery St - N of  Park Av,7000,37.326688,-121.900778
2011-07-01,Autumn St,S of,The Alameda,Autumn St - S of  The Alameda,7000,37.331721,-121.900214
2011-07-01,Autumn St,N of,Park Av,Autumn St - N of  Park Av,4950,37.32669,-121.900689
2011-07-01,Montgomery St,S of,The Alameda,Montgomery St - S of  The Alameda,4950,37.331753,-121.901231
2011-07-01,Blossom Hill Rd,E of,Hwy-101,Blossom Hill Rd - E of  Hwy-101,56000,37.257227,-121.797167
2011-07-01,Blossom Hill Rd,E of,Monterey Rd,Blossom Hill Rd - E of  Monterey Rd,30000,37.256571,-121.801303
2011-07-01,Monterey Rd,S of,Capitol Ex,Monterey Rd - S of  Capitol Ex,31500,37.279071,-121.836311
2011-07-01,Monterey Rd,S of,Old Tully Rd,Monterey Rd - S of  Old Tully Rd,31500,37.300438,-121.858024
2011-07-01,Monterey Rd,S of,Alma Av,Monterey Rd - S of  Alma Av,22900,37.316338,-121.873867
2011-07-01,First St,S of,Int-280,First St - S of  Int-280,20800,37.326083,-121.883054
2011-07-01,San Carlos St,W of,Market St,San Carlos St - W of  Market St,14900,37.330807,-121.888516
2011-07-01,San Carlos St,W of,Hwy-87,San Carlos St - W of  Hwy-87,14400,37.327741,-121.895047
